 ,1,76,5,25,1000,29,38,24,4,1010,015,1000,180,0,254,2,2,9,9999,2,0000,1,33,9,9,0,9,99,2,1,9
 ,1,76,5,25,0001,35,32,05,5,1110,015,1114,011,1,127,2,9,9,9999,2,0000,1,99,4,1,0,9,00,4,1,9
 ,1,76,5,27,0010,03,45,23,4,9999,010,9999,120,0,076,2,2,9,9999,1,0025,0,99,4,1,2,9,00,9,9,9
 ,1,76,5,29,1000,20,49,06,4,1645,012,1657,010,9,999,2,2,9,9999,2,0000,0,99,4,1,1,9,00,9,1,9
 ,1,76,5,29,0010,10,38,15,4,1200,005,1155,025,9,999,3,2,9,9999,2,0000,1,25,4,1,1,9,00,9,9,9
 ,1,76,5,31,0100,20,46,04,5,1637,009,1625,055,9,999,2,9,9,9999,1,0152,0,99,4,1,0,9,00,0,1,9
 ,1,76,5,31,0001,32,37,07,5,1720,030,1710,045,9,999,3,2,9,9999,3,0020,1,40,4,3,1,9,99,3,9,9
 ,1,76,5,31,0010,31,38,07,5,1730,005,1735,030,1,030,2,1,9,9999,2,0000,1,00,4,1,1,9,00,9,1,9
 ,1,76,5,31,0100,21,38,06,5,1756,002,1730,999,9,999,3,2,9,9999,1,0076,1,00,4,3,0,9,00,6,1,9
 ,1,76,5,31,0010,17,40,27,4,1940,005,1935,060,0,010,2,2,9,9999,1,0152,1,90,4,2,1,9,00,9,1,9
 ,1,76,5,31,0010,30,37,07,5,1715,010,1710,020,1,160,3,2,9,9999,3,0030,1,75,8,2,0,9,99,4,1,9
 ,1,76,5,31,0100,11,39,05,5,1558,002,1555,020,1,030,2,2,9,9999,1,0102,0,99,4,9,1,9,00,9,9,9
 ,1,76,5,31,0100,02,39,01,5,1655,002,1647,008,9,999,2,2,9,9999,1,0076,0,99,3,2,0,9,00,2,1,9
 ,1,76,5,31,0010,11,39,06,5,1805,005,1800,075,0,093,2,1,9,9999,2,0000,1,00,9,9,0,9,00,2,9,9
 ,1,76,5,31,1000,10,37,07,5,1700,015,1715,030,1,127,3,3,9,9999,2,0000,0,99,4,2,0,9,00,0,9,9
 ,1,76,5,31,1000,09,39,05,5,1625,005,1500,999,9,999,2,2,9,9999,1,0152,1,99,9,2,0,9,00,9,9,9
 ,1,76,5,31,1000,14,39,07,5,1748,006,1745,032,0,015,2,1,9,9999,2,0000,1,85,4,3,1,9,99,9,9,9
 ,1,76,5,31,0100,15,39,04,5,1615,005,1630,030,1,127,3,2,9,9999,2,0000,1,90,3,1,0,9,99,9,9,9
 ,1,76,5,31,9999,18,37,06,5,1730,002,9999,015,9,999,3,9,9,9999,1,0076,0,99,4,9,9,9,99,9,9,9
 ,1,76,5,31,0001,30,39,06,5,1755,005,1755,090,1,063,1,1,9,9999,2,0000,1,99,9,9,1,9,99,9,9,9
 ,1,76,5,31,1000,24,37,07,5,1715,020,9999,025,0,030,3,1,9,9999,1,0025,1,99,4,9,1,9,99,9,9,9
 ,1,76,5,31,0100,10,36,06,5,1729,002,1730,004,0,000,2,2,9,9999,2,0000,1,00,4,9,0,9,00,9,9,9
 ,1,76,5,31,0001,01,40,06,5,1809,002,1809,010,1,127,2,2,9,9999,2,0000,1,90,1,3,1,9,99,0,2,9
 ,1,76,5,31,0010,01,31,01,5,1732,002,1734,006,1,017,2,2,9,9999,2,0000,0,99,4,3,2,9,99,8,9,9
 ,1,76,5,31,0100,28,38,05,5,1700,005,1700,010,0,025,3,3,9,9999,2,0000,1,00,4,3,0,9,99,9,9,9
 ,1,76,5,31,0010,14,36,05,5,1740,005,1745,005,0,030,9,2,9,9999,2,0000,1,20,2,9,0,9,00,9,9,9
 ,1,76,6,01,0001,23,31,01,5,1617,010,1615,020,0,139,2,2,9,9999,2,0000,1,50,4,1,0,9,00,2,1,9
 ,1,76,6,01,0001,32,41,01,5,1610,010,1600,025,1,025,4,4,9,9999,1,0051,0,99,2,2,0,9,25,5,4,9
 ,2,76,6,04,0100,01,39,22,4,1230,005,1220,020,0,066,1,1,9,9999,2,0000,1,50,4,1,0,9,99,9,9,9
 ,1,76,6,04,0100,31,28,04,5,1915,025,8888,999,9,999,3,3,9,9999,3,0038,1,75,8,1,0,9,99,2,1,9
 ,1,76,6,04,0100,17,29,04,5,1920,020,1935,025,1,127,4,3,9,9999,3,0020,1,15,4,1,0,9,99,2,1,9
 ,1,76,6,04,1000,02,42,22,4,1300,010,1300,999,9,999,2,1,9,9999,3,0013,1,50,4,1,0,9,99,2,9,9
 ,1,76,6,04,0100,35,40,16,4,1420,003,1410,020,0,076,2,1,9,9999,1,9999,0,99,4,1,0,9,99,9,9,9
 ,3,76,6,04,1000,04,39,21,4,1310,005,1305,030,0,045,1,1,9,9999,2,0000,1,50,3,2,2,9,99,2,1,9
 ,1,76,6,04,0001,10,33,21,4,1540,999,1500,060,0,203,2,2,9,9999,3,0025,0,99,4,1,0,9,99,9,9,9
 ,1,76,6,04,0100,03,47,22,4,1500,025,1430,060,0,101,2,2,9,9999,2,0000,1,80,4,1,0,9,00,2,1,9
 ,1,76,6,04,0100,36,38,22,4,1335,002,1335,010,0,083,2,1,9,9999,2,0000,1,99,1,2,0,9,99,9,9,9
 ,1,76,6,04,0100,12,39,21,4,1150,002,1145,020,1,002,3,2,9,9999,2,0000,0,99,8,2,0,9,00,2,1,9
 ,1,76,6,05,0001,18,47,03,5,1345,004,1340,015,1,203,2,1,9,9999,1,0152,0,99,3,2,1,9,99,9,9,9
 ,3,76,6,05,0010,31,38,05,5,1256,015,1245,035,0,093,3,2,9,9999,3,0013,1,00,9,9,0,9,99,9,9,9
